timestamp,epochs,loss,acc,val_loss,val_acc
2019-08-19 03:05:45.260034,1,2.2496254186372497,0.1681028393840938,2.128121715325576,0.24500907441016334
2019-08-19 03:44:54.131963,2,2.0605548781317635,0.262607712953807,2.006276946801406,0.27404718693284935
2019-08-19 04:24:11.576679,3,1.9769625341570056,0.2921316570137025,1.9211197678859417,0.30973986690865096
2019-08-19 05:03:13.133796,4,1.9209425352715157,0.3032914253425625,1.884826971934392,0.3145795523290986
2019-08-19 05:42:22.855149,5,1.8912816412814029,0.32109054951264304,1.8436919771707976,0.3248638838475499
2019-08-19 06:21:37.580771,6,1.8704763930123132,0.3305551631586382,1.8306700999920185,0.34059286146400486
2019-08-19 07:01:00.413420,7,1.8504738560667984,0.33790083345105243,1.8116675798709576,0.3393829401088929
2019-08-19 07:39:57.600294,8,1.8303379572189606,0.3415736685972595,1.798129411844107,0.3430127041742287
2019-08-19 08:19:02.358351,9,1.8171387878624168,0.34510524085322786,1.7800931884692266,0.3466424682395644
2019-08-19 08:58:10.366399,10,1.8085575254113824,0.3538635400480294,1.786604473224053,0.3508771929824561
